no;Dependen;Independen_1;Independen_2;Independen_3;Independen_4;Independen_5;Independen_6;Independen_7;Independen_8;Independen_9;Independen_10;Independen_11;Independen_12;Independen_13
103;2;53;1;0;0;4;1;2.972742755;0;1;0;1;4.172906885;0
104;1;30;0;0;1;5;1;3.056595019;1;0;0;1;3.256616153;1
105;3;35;1;0;0;3;1;3.26189321;0;0;1;1;3.33120501;0
106;2;29;0;0;2;2;1;2.668829488;0;1;0;1;3.516127348;1
107;2;39;1;0;1;5;1;3.7392709;0;1;0;1;3.921592456;0
108;2;35;0;0;2;4;1;3.036554268;0;1;0;1;3.674351354;1
109;3;39;1;0;0;4;1;4.281827722;0;0;1;1;3.825114929;0
110;1;27;0;0;1;3;0;NA;1;0;0;1;2.822980168;1
111;3;49;0;0;0;4;0;NA;0;0;1;1;3.562647364;1
112;3;53;0;1;0;3;1;3.386669281;0;0;1;1;3.544298225;0
113;3;52;1;0;0;5;1;3.487139811;0;0;1;1;4.800230769;0
114;1;27;0;0;2;4;0;NA;1;0;0;1;3.205407608;1
115;NA;34;1;0;1;3;1;2.79279143;NA;NA;NA;0;NA;0
116;1;38;0;0;1;4;1;3.274965292;1;0;0;1;3.402798663;1
117;1;36;0;0;0;2;1;2.873129951;1;0;0;0;NA;1
118;1;45;0;0;0;3;1;3.544298225;1;0;0;1;3.420817169;1
119;2;45;NA;NA;0;3;1;3.530311983;0;1;0;1;2.907583887;NA
120;2;34;1;0;2;4;0;NA;0;1;0;1;4.012564235;0
121;1;43;0;0;0;4;1;3.179655112;1;0;0;1;2.822980168;1
122;3;34;0;1;1;5;1;4.146095627;0;0;1;1;3.500127007;0
123;3;44;0;1;1;3;1;3.968112472;0;0;1;1;3.619199533;0
124;1;39;0;0;1;4;0;NA;1;0;0;1;3.074294596;1
125;1;39;0;0;0;4;1;NA;1;0;0;1;3.328075117;1
126;3;37;0;0;0;3;1;3.493654492;0;0;1;0;NA;1
127;NA;40;NA;NA;1;5;1;5.172091337;NA;NA;NA;1;4.645992181;NA
128;1;28;0;0;1;2;1;2.603690186;1;0;0;1;3.068052935;1
129;2;30;0;1;2;3;1;3.744968921;0;1;0;1;2.878550019;0
130;NA;41;0;0;0;4;1;3.10639601;NA;NA;NA;1;3.028832222;1
131;2;30;1;0;0;2;1;3.766515422;0;1;0;1;3.821508998;0
132;1;45;NA;NA;0;5;1;3.138833117;1;0;0;1;2.873129951;NA
133;NA;41;0;0;0;4;1;2.873129951;NA;NA;NA;1;3.138833117;1
134;1;41;0;0;0;4;1;2.745790529;1;0;0;1;2.396895772;1
135;2;49;1;0;0;4;1;3.40546178;0;1;0;1;3.872802292;0
136;2;46;1;0;0;2;0;NA;0;1;0;1;3.564621698;0
137;3;40;1;0;0;4;1;3.609073461;0;0;1;1;3.544298225;0
138;NA;48;NA;NA;2;5;1;3.617002719;NA;NA;NA;1;3.401197382;NA
139;3;35;0;1;1;3;1;3.767441777;0;0;1;1;3.934837683;0
140;1;40;NA;NA;0;3;0;NA;1;0;0;1;3.912023005;NA
141;NA;45;0;0;0;5;1;4.291512627;NA;NA;NA;1;3.074294596;1
142;3;42;0;0;1;4;1;3.369356776;0;0;1;1;3.523889354;1
143;1;39;0;0;0;5;1;2.291535257;1;0;0;1;2.822980168;1
144;1;49;0;0;0;5;1;3.767441777;1;0;0;1;3.793552921;1
145;2;45;0;0;0;5;1;3.310683374;0;1;0;1;3.767441777;1
146;1;30;0;0;2;3;1;5.153736138;1;0;0;1;NA;1
147;1;52;1;0;0;4;1;3.032497467;1;0;0;1;2.738788077;0
148;NA;43;1;0;0;4;1;3.986130978;NA;NA;NA;1;3.649658741;0
149;1;37;0;0;1;5;1;7.210941538;1;0;0;1;3.627185885;1
150;2;35;0;1;1;4;1;4.055123849;0;1;0;1;3.52361802;0
151;1;39;0;0;0;3;1;4.483473251;1;0;0;1;3.42651519;1
152;1;45;0;1;0;3;1;3.649658741;1;0;0;1;4.714369478;0
153;1;42;0;0;0;5;1;3.649658741;1;0;0;1;4.135166557;1
154;2;29;0;0;2;5;0;NA;0;1;0;1;3.744968921;1
155;NA;35;NA;NA;2;4;1;4.828313737;NA;NA;NA;1;4.083294726;NA
156;1;47;0;0;0;3;1;3.23792402;1;0;0;1;3.882752623;1
157;1;40;0;0;0;5;0;NA;1;0;0;1;4.135166557;1
158;3;39;0;1;1;5;1;3.912023005;0;0;1;1;4.127444511;0
159;1;32;0;0;0;5;1;2.040220829;1;0;0;1;2.302585093;1
160;NA;34;1;0;3;5;1;3.665162927;NA;NA;NA;1;3.924095587;0
161;1;42;0;0;1;1;1;2.88823272;1;0;0;1;3.348553648;1
162;1;35;0;0;2;4;0;NA;1;0;0;1;2.892548037;1
163;2;46;1;0;0;3;1;2.198825859;0;1;0;1;3.516127348;0
164;2;37;NA;NA;0;3;1;2.733368009;0;1;0;NA;NA;NA
165;1;33;0;0;1;3;1;3.616868918;1;0;0;1;4.153515695;1
166;2;43;0;0;0;4;1;2.427748236;0;1;0;1;3.310683374;1
167;2;34;1;0;1;4;0;NA;0;1;0;1;3.803809421;0
168;2;35;0;0;0;4;1;4.160484365;0;1;0;1;3.11066224;1
169;2;33;0;0;0;5;0;NA;0;1;0;1;3.994036157;1
170;2;40;1;0;0;5;1;2.95651156;0;1;0;1;2.705197132;0
171;1;34;0;0;1;2;0;NA;1;0;0;1;2.040220829;1
172;2;45;1;0;0;4;1;4.017383521;0;1;0;1;3.756268476;0
173;3;29;1;0;0;5;1;3.73403985;0;0;1;1;3.862751956;0
174;2;46;1;0;0;4;1;3.721979403;0;1;0;1;4.237445406;0
175;3;40;0;0;0;5;1;2.95651156;0;0;1;1;3.624340933;1
176;2;45;0;0;0;4;1;3.800231599;0;1;0;1;3.872802292;1
177;2;48;0;1;0;5;1;3.041669369;0;1;0;1;3.506557897;0
178;3;34;0;0;2;4;1;3.42651519;0;0;1;1;3.682448564;1
179;1;30;NA;NA;0;4;1;2.978490467;1;0;0;NA;NA;NA
180;1;37;1;0;0;3;1;2.95651156;1;0;0;0;NA;0
181;2;25;0;0;0;3;1;2.813410717;0;1;0;1;2.774190004;1
182;3;34;1;0;2;4;0;NA;0;0;1;1;4.244365849;0
183;2;34;1;0;2;4;0;NA;0;1;0;1;3.649658741;0
184;1;54;0;0;0;2;0;NA;1;0;0;1;3.649658741;1
185;2;43;0;1;0;4;1;3.978162808;0;1;0;1;3.767441777;0
186;1;52;0;0;0;5;1;2.461190123;1;0;0;1;3.852599585;1
187;2;33;0;0;0;5;1;3.292983797;0;1;0;1;3.698448905;1
188;3;33;1;0;2;5;1;3.442019376;0;0;1;1;4.565949473;0
189;3;30;1;0;0;5;1;2.668829488;0;0;1;1;2.822980168;0
190;NA;40;1;0;1;4;1;4.209274529;NA;NA;NA;1;4.342805922;0
191;2;45;0;0;0;4;0;NA;0;1;0;1;3.20264463;1
192;2;44;0;0;0;4;1;2.822980168;0;1;0;1;3.138833117;1
193;2;35;1;0;2;3;0;NA;0;1;0;1;NA;0
194;1;45;0;1;0;4;1;4.789943726;1;0;0;1;4.627824877;0
195;2;30;0;0;1;5;1;3.552020271;0;1;0;1;3.767441777;1
196;1;43;0;0;0;4;1;3.393229212;1;0;0;1;3.442019376;1
197;3;43;1;0;0;2;0;NA;0;0;1;1;4.160484365;0
198;1;31;0;0;1;5;1;2.525728644;1;0;0;1;3.179655112;1
199;2;37;1;0;1;5;1;2.298906364;0;1;0;1;2.668829488;0
200;2;51;1;0;0;4;1;3.394766491;0;1;0;1;3.710283363;0
201;3;45;1;0;0;4;1;4.565949473;0;0;1;1;3.986130978;0
202;3;41;1;0;0;3;1;3.218875825;0;0;1;1;3.821508998;0
203;2;31;1;0;1;5;1;3.495508061;0;1;0;1;3.872802292;0
204;3;40;0;0;0;4;0;NA;0;0;1;1;3.710283363;1
205;1;37;0;0;0;5;1;3.470190253;1;0;0;1;4.605170186;1
206;3;37;1;0;0;5;1;3.690480735;0;0;1;1;4.400485033;0
207;1;43;0;0;0;3;1;3.413269963;1;0;0;1;3.824012128;1
208;2;47;0;1;0;5;1;3.179655112;0;1;0;1;4.43241808;0
209;1;36;0;0;1;5;1;4.2782674;1;0;0;1;3.730034726;1
210;2;39;1;0;1;4;1;3.481240089;0;1;0;1;4.055123849;0
211;1;53;0;0;0;5;0;NA;1;0;0;1;2.905218266;1
212;3;37;1;0;2;5;1;4.157145463;0;0;1;1;3.872802292;0
213;1;46;1;0;0;4;1;3.37850597;1;0;0;1;3.336658861;0
214;2;41;0;0;0;4;1;3.336658861;0;1;0;1;3.37850597;1
215;2;46;0;0;0;4;1;3.544298225;0;1;0;1;3.921592456;1
216;1;38;1;0;0;4;1;2.869500183;1;0;0;1;3.569616033;0
217;NA;35;NA;NA;0;4;1;3.858778491;NA;NA;NA;1;3.383955575;NA
218;1;41;0;0;0;1;0;NA;1;0;0;0;NA;1
219;3;47;0;1;0;5;1;3.074294596;0;0;1;1;3.662081261;0
220;2;29;1;0;1;5;1;3.547379892;0;1;0;1;3.867071618;0
221;1;29;0;0;1;4;1;2.605771352;1;0;0;1;1.857899272;1
222;3;41;0;1;0;5;1;3.649658741;0;0;1;1;3.767441777;0
223;3;44;1;0;0;5;1;4.172906885;0;0;1;1;4.2782674;0
224;2;31;0;0;1;3;1;3.675634227;0;1;0;1;3.781044742;1
225;2;44;0;1;0;5;0;NA;0;1;0;1;3.274965292;0
226;3;36;1;0;1;5;1;4.2782674;0;0;1;1;4.2782674;0
227;1;54;0;0;0;5;1;3.324236341;1;0;0;1;2.291535257;1
228;2;47;0;0;0;5;1;3.729701449;0;1;0;1;3.244193633;1
229;1;32;0;0;0;3;1;2.26336438;1;0;0;0;NA;1
230;3;37;1;0;1;5;1;3.274965292;0;0;1;1;4.095945844;0
231;3;38;0;1;0;5;1;3.937340813;0;0;1;1;3.663878152;0
232;2;37;1;0;1;5;0;NA;0;1;0;1;4.180286992;0
233;1;49;1;0;0;5;1;2.445685937;1;0;0;1;2.733368009;0
234;1;50;0;0;0;2;0;NA;1;0;0;1;3.448988045;1
235;2;53;1;0;0;5;0;NA;0;1;0;1;4.2782674;0
236;3;41;1;0;0;3;1;3.189605443;0;0;1;1;3.615757189;0
237;2;43;0;1;0;4;0;NA;0;1;0;1;3.810926889;0
238;3;31;0;0;1;5;1;3.598365447;0;0;1;1;3.912023005;1
239;1;30;0;0;1;3;0;NA;1;0;0;1;2.63905733;1
240;3;44;1;0;0;4;1;3.361976669;0;0;1;1;3.959813669;0
241;NA;51;NA;NA;0;5;1;3.698448905;NA;NA;NA;1;3.649658741;NA
242;2;31;1;0;0;5;1;3.58512022;0;1;0;1;4.568446353;0
243;1;49;0;0;0;5;1;2.620119321;1;0;0;0;NA;1
244;1;54;0;0;0;3;1;2.758060622;1;0;0;0;NA;1
245;1;32;0;0;1;5;1;3.767441777;1;0;0;1;NA;1
246;3;50;1;0;0;5;0;NA;0;0;1;1;4.565949473;0
247;2;38;0;0;0;4;1;3.003466709;0;1;0;1;3.429214668;1
248;1;46;0;0;0;5;1;3.021050082;1;0;0;1;2.780370863;1
249;3;34;1;0;1;4;1;3.710283363;0;0;1;1;1.395863812;0
250;2;35;0;1;1;5;1;2.304607338;0;1;0;1;3.912023005;0
251;1;39;1;0;0;5;1;NA;1;0;0;1;4.342805922;0
252;1;49;1;0;0;1;1;2.525728644;1;0;0;1;2.690808395;0
253;1;32;0;0;0;4;1;2.120263536;1;0;0;1;3.679217543;1
254;1;37;0;0;2;5;1;NA;1;0;0;1;NA;1
255;3;28;0;0;1;5;1;3.637079959;0;0;1;1;3.138833117;1
256;1;36;1;0;0;4;1;2.184802057;1;0;0;1;4.055123849;0
257;2;41;1;0;0;4;1;3.113515309;0;1;0;1;4.055123849;0
258;1;41;0;0;2;5;1;3.218875825;1;0;0;1;3.138833117;1
259;2;43;0;1;0;5;0;NA;0;1;0;1;4.902421709;0
260;1;41;1;0;0;5;0;NA;1;0;0;1;NA;0
261;1;54;0;0;0;3;1;3.442019376;1;0;0;1;3.649658741;1
262;1;40;0;0;0;5;1;2.774190004;1;0;0;1;5.218274659;1
263;1;53;0;0;0;5;1;-0.470003629;1;0;0;1;4.648187571;1
264;1;30;0;0;1;3;1;2.26336438;1;0;0;1;3.179655112;1
265;2;41;1;0;0;5;1;3.234143297;0;1;0;1;3.480582411;0
266;2;41;0;0;1;3;0;NA;0;1;0;1;3.841196953;1
267;2;40;1;0;1;5;1;3.58512022;0;1;0;1;3.968112472;0
268;1;47;1;0;0;5;1;3.479196583;1;0;0;1;3.506557897;0
269;2;53;1;0;0;4;1;2.891973039;0;1;0;1;3.036554268;0
270;2;45;1;0;0;5;1;2.368724895;0;1;0;1;4.971414581;0
271;2;53;0;0;0;4;0;NA;0;1;0;1;3.968112472;1
272;3;40;1;0;0;4;1;3.307909447;0;0;1;1;3.937340813;0
273;1;49;1;0;0;4;1;2.35867456;1;0;0;1;4.391596086;0
274;1;50;0;0;0;5;0;NA;1;0;0;1;NA;1
275;1;47;0;1;0;5;1;3.15516001;1;0;0;1;4.055123849;0
276;2;42;0;0;0;4;1;4.135166557;0;1;0;1;NA;1
277;3;36;1;0;2;5;1;3.544298225;0;0;1;1;NA;0
278;1;44;0;0;0;4;1;4.884694071;1;0;0;1;3.744968921;1
279;2;47;0;0;0;3;1;3.115116591;0;1;0;1;3.324236341;1
280;1;49;0;0;0;5;1;NA;1;0;0;1;3.813288165;1
281;3;49;0;0;0;3;1;4.057620729;0;0;1;1;2.267356401;1
282;1;51;0;0;0;4;0;NA;1;0;0;1;NA;1
283;1;44;0;0;0;3;1;2.779001937;1;0;0;1;3.442019376;1
284;3;40;0;0;0;4;1;3.544298225;0;0;1;1;3.27859506;1
285;2;49;1;0;0;4;1;4.172906885;0;1;0;1;4.674803878;0
286;1;50;1;0;0;5;1;2.766319109;1;0;0;1;4.50909219;0
287;1;43;0;0;0;3;0;NA;1;0;0;0;NA;1
288;1;49;0;0;0;5;0;NA;1;0;0;1;3.755019257;1
289;1;45;0;0;0;3;1;3.182441923;1;0;0;1;3.516127348;1
290;2;50;1;0;0;5;1;3.181135497;0;1;0;1;4.565949473;0
291;1;46;0;0;0;5;1;3.23792402;1;0;0;1;3.80666249;1
292;1;36;0;0;1;3;1;2.325057949;1;0;0;0;NA;1
293;3;42;0;1;0;5;1;3.157182256;0;0;1;1;3.649658741;0
294;1;41;0;0;0;3;1;3.767441777;1;0;0;1;4.055123849;1
295;2;34;0;0;2;5;1;2.813410717;0;1;0;1;3.442034761;1
296;2;28;1;0;2;5;0;NA;0;1;0;1;4.11966237;0
297;2;43;1;0;0;5;1;2.95651156;0;1;0;1;2.701619311;0
298;1;51;0;0;0;3;1;2.733368009;1;0;0;1;3.361976669;1
299;NA;40;NA;NA;0;5;1;4.43241808;NA;NA;NA;1;4.565949473;NA
300;3;40;NA;NA;1;5;1;4.540631665;0;0;1;1;5.623739767;NA
301;NA;33;0;0;2;5;1;5.452468046;NA;NA;NA;1;4.853631545;1
302;2;51;1;0;0;4;1;4.565949473;0;1;0;1;5.291886476;0
303;2;50;0;0;0;3;1;3.324236341;0;1;0;1;3.596170056;1
304;2;36;1;0;0;4;0;NA;0;1;0;1;4.180286992;0
305;2;38;0;0;0;2;1;2.420368129;0;1;0;1;2.782158173;1
306;3;40;1;0;0;5;0;NA;0;0;1;1;3.815190128;0
307;3;39;0;0;1;2;1;4.209274529;0;0;1;1;2.95651156;1
308;2;39;0;0;0;4;1;2.764139668;0;1;0;1;4.873434173;1
309;3;49;0;0;0;3;1;2.26336438;0;0;1;1;3.801819865;1
310;1;32;0;0;1;4;1;3.074294596;1;0;0;1;3.361976669;1
311;1;26;0;0;0;3;1;3.036554268;1;0;0;1;3.516127348;1
312;1;43;0;0;0;5;1;2.95651156;1;0;0;1;2.26336438;1
313;2;54;1;0;0;5;1;2.851151045;0;1;0;0;NA;0
314;NA;47;NA;NA;0;1;0;NA;NA;NA;NA;1;NA;NA
315;1;52;0;0;0;4;1;2.95651156;1;0;0;1;3.292983797;1
316;1;48;0;0;0;2;1;NA;1;0;0;1;2.915689566;1
317;1;52;0;0;0;4;1;3.42651519;1;0;0;1;2.445685937;1
318;2;35;1;0;1;4;1;3.516127348;0;1;0;1;3.58512022;0
319;NA;36;NA;NA;0;4;1;4.07683098;NA;NA;NA;1;3.925843724;NA
320;3;46;1;0;0;4;1;3.074294596;0;0;1;1;3.138833117;0
321;3;47;0;1;0;3;1;3.442019376;0;0;1;1;3.821508998;0
322;2;45;1;0;0;4;1;2.198825859;0;1;0;1;2.040220829;0
323;1;50;0;0;0;4;1;2.766263938;1;0;0;1;2.982100125;1
324;1;26;0;0;0;3;1;2.772588722;1;0;0;1;2.213353959;1
325;1;40;0;0;0;2;1;2.981618721;1;0;0;1;3.355007999;1
326;3;41;1;0;0;5;1;3.447919098;0;0;1;1;4.055123849;0
327;2;39;0;0;0;4;1;4.482567864;0;1;0;1;2.95651156;1
328;3;38;0;1;0;4;1;3.649658741;0;0;1;0;NA;0
329;3;39;0;1;0;5;1;2.406465223;0;0;1;1;4.055123849;0
330;3;48;0;1;0;4;1;3.533124925;0;0;1;1;3.533147396;0
331;2;49;1;0;0;4;0;NA;0;1;0;1;5.035953102;0
332;2;29;1;0;1;4;1;NA;0;1;0;1;3.842343085;0
333;2;46;0;0;0;5;1;3.746362464;0;1;0;1;2.866899402;1
334;1;50;0;0;0;4;1;2.822980168;1;0;0;1;3.788541949;1
335;1;27;1;0;0;2;1;2.668829488;1;0;0;0;NA;0
336;2;41;NA;NA;0;4;1;3.074294596;0;1;0;1;3.89260492;NA
337;2;48;0;0;0;3;1;4.2782674;0;1;0;1;3.179655112;1
338;3;53;1;0;0;5;0;NA;0;0;1;0;NA;0
339;2;37;1;0;1;5;0;NA;0;1;0;1;3.921592456;0
340;1;44;0;0;0;3;1;3.361976669;1;0;0;1;2.720122782;1
341;3;37;0;0;0;4;1;3.725644648;0;0;1;1;NA;1
342;2;44;NA;NA;0;3;1;5.298317367;0;1;0;1;2.995732274;NA
343;1;38;0;0;1;4;0;NA;1;0;0;1;2.486507931;1
344;3;36;0;0;0;4;1;3.566277132;0;0;1;1;3.710283363;1
345;NA;51;NA;NA;0;3;1;4.892852258;NA;NA;NA;1;4.789093024;NA
346;2;40;0;0;1;3;0;NA;0;1;0;1;2.927524024;1
347;2;54;0;1;0;4;1;2.95651156;0;1;0;1;NA;0
348;2;40;0;0;0;4;1;3.361976669;0;1;0;1;4.398902661;1
349;3;45;NA;NA;0;4;1;4.342805922;0;0;1;1;3.122025999;NA
350;1;37;0;0;0;5;1;NA;1;0;0;1;NA;1
351;1;28;0;0;1;4;1;2.847812143;1;0;0;1;3.044522438;1
352;2;36;0;1;0;5;1;4.095945844;0;1;0;1;4.2782674;0
353;1;54;0;0;0;4;1;3.571697199;1;0;0;0;NA;1
354;2;53;1;0;0;4;1;3.313186504;0;1;0;1;3.179655112;0
355;2;49;0;0;0;4;1;NA;0;1;0;1;NA;1
356;2;47;0;0;0;3;1;3.218875825;0;1;0;1;3.218875825;1
357;2;51;1;0;0;5;1;1.570217199;0;1;0;1;3.361976669;0
358;2;32;0;1;0;3;1;3.05182174;0;1;0;1;2.486507931;0
359;2;33;0;0;1;3;1;3.710283363;0;1;0;0;NA;1
360;2;37;1;0;1;5;1;4.549600335;0;1;0;1;3.310683374;0
361;1;40;0;0;0;4;1;3.39062843;1;0;0;1;3.421400089;1
362;2;53;0;0;0;5;1;NA;0;1;0;1;NA;1
363;1;37;0;0;0;3;1;3.274965292;1;0;0;1;3.710283363;1
364;1;41;0;1;0;5;1;3.536330056;1;0;0;1;3.89260492;0
365;3;48;0;1;0;4;1;3.372059004;0;0;1;1;2.500410836;0
366;2;38;0;0;0;4;1;3.117779708;0;1;0;1;3.028832222;1
367;1;52;1;0;0;1;1;NA;1;0;0;1;NA;0
368;NA;45;1;0;0;5;1;3.274965292;NA;NA;NA;1;3.442019376;0
369;1;40;1;0;0;5;1;NA;1;0;0;1;3.649658741;0
